발짓 0 1 2
김현정 0 1 3
스턴트 1 0 3
가거나 1 1 3
남겨지고 0 1 4
뜌 0 1 1
겠다고 1 2 3
금옥 4 0 2
기역 1 4 2
넉넉하시거나 1 0 6
촉박했나 1 0 4
안말 1 0 2
만들어지는게 0 2 6
봐야 114 265 2
자연스럽더라구요 1 0 8
옥죄 1 1 2
가고싶어지네요 0 1 7
노동 2 4 2
여군 13 8 2
개줌 2 1 2
잔디밭 0 1 3
모르겠어나 0 1 5
없어지면 0 4 4
내놓았겠지 0 1 5
할래 19 1 2
정확하다 2 1 4
꺼져줘 1 0 3
안되고이해 1 0 5
묵겠지 1 1 3
시신 1 5 2
넘었을듯 0 2 4
궂연기 0 1 3
비스타 1 0 3
솔직 5 8 2
시켰으면서 1 0 5
뛰어넘는다 1 3 5
망하니까 1 0 4
본건 21 29 2
아직기 0 1 3
묻어가다 0 1 4
재탕 40 6 2
알랴븅 0 1 3
이니고 2 0 3
이히 0 2 2
렌셔 0 1 2
될것이야 1 0 4
봐야하다니 2 0 5
씁쓸하구만 1 1 5
15 69 45 2
아쉽기까지 0 1 5
,,,,,,,,,,,, 1 1 12
쌓였다 0 1 3
성공한거란다 1 0 6
어떻니 1 2 3
7초 2 0 2
콜럼버스 2 0 4
설친다 1 0 3
채는구나 1 0 4
좋아하겠네 5 0 5
유강 0 1 2
질렸던 1 0 3
있는가를 0 1 4
또봇 3 0 2
냈나 1 0 2
리자 7 2 2
소중한것을 0 1 5
짱짱한데 1 1 4
구더기 5 1 3
할거란 1 0 3
./////// 1 0 8
목풀 1 0 2
대박날지 0 1 4
상관없네 1 0 4
싱겁 1 1 2
극장판 163 194 3
굉장회 0 1 3
안올리냐드라마끝낫는데장사하기실냐 1 0 17
깔끔하지가 1 0 5
포스트 13 6 3
바벨탑 0 2 3
도스 1 1 2
불렀다고 0 1 4
깨물고 1 0 3
만들려고는 1 0 5
욕할껄 1 0 3
젊었었네 0 1 4
내년 3 9 2
벴어요 0 1 3
하겠느냐 0 1 4
항공권 0 1 3
어색하던데 2 1 5
만들었다더니 0 1 6
무서웠고다시 0 1 6
뒈졋 1 0 2
히딩크 0 1 3
비카 1 0 2
파니 0 1 2
시급하다 6 1 4
봊 1 0 1
꽂히는 0 3 3
홀랑 1 0 2
그리구 4 8 3
빠뜨리는 2 0 4
느낌나고 1 0 4
다루려고 2 0 4
나오겟지 4 0 4
쨔흐 0 1 2
심하네요 15 3 4
싶긴하네요 0 1 5
악화시켜 1 0 4
8.06 1 0 4
지영은 1 0 3
이쁘고 31 157 3
무능하여 1 0 4
놀랄지도 0 1 4
퍼졌다는 1 0 4
등사기 0 1 3
죽인다니 1 0 4
잠재울려고 1 0 5
밑힌놈들 0 1 4
탄사 2 2 2
쳤는지 1 0 3
지독하도록 0 1 5
않았구나 1 0 4
보라 134 64 2
나가기엔 2 0 4
반가웠고 0 1 4
거지같았음 1 0 5
손톰 1 0 2
찜방 2 1 2
활극영화 1 0 4
재밌던 3 10 3
살린것이다 0 1 5
lim 1 0 3
히노키 0 2 3
가끔 93 174 2
카탈루니아 0 1 5
까라 2 4 2
나간다고하니깐 0 1 7
현주 0 2 2
따먹는 1 0 3
고니 4 7 2
추잡해 1 0 3
드마리 1 0 3
극히 9 5 2
막히죠 0 1 3
나쁘다고 2 3 4
치는것 2 0 3
건드리지 3 2 4
억지 455 72 2
한때 12 17 2
싫어짐 11 0 3
씹노답이요 1 0 5
으허헝 0 1 3
선리 0 1 2
해본내가 0 1 4
떡칠 10 0 2
굉장한 12 33 3
chez 0 1 4
없는거겠지 0 1 5
최면 8 5 2
코드네임 0 1 4
차갑지만 1 2 4
적이다거나 0 1 5
하는거죠 2 6 4
나빴다가 1 0 4
미쳤음 3 1 3
굼뜬 1 0 2
들일듯 1 2 3
아랫 10 22 2
달리는거아니라 1 0 7
니브 1 0 2
삼풍백화점 0 2 5
살게 1 1 2
볼드모트 0 1 4
늘어놓는게 1 0 5
첨보네욬 1 0 4
오식 1 1 2
혜진 2 0 2
심지 2 1 2
20초 2 2 3
williams 0 1 8
ㅋㅋㄱㄲ 1 0 4
울리면되 1 0 4
기억남는건 3 1 5
꾸르뀨르 1 0 4
싸우는것에 0 1 5
흔든 0 4 2
보고싶지 30 4 4
오태경 2 1 3
녹방 1 0 2
메기 6 2 2
타는것만 1 0 4
봤던것 1 5 3
Sea 1 0 3
짭이 1 0 2
가려질만큼 0 1 5
사거리 1 0 3
떨어뜨리는군요 1 0 7
넘어지지 0 1 4
짜증나긴 5 5 4
음모론자 0 1 4
뱃지 0 1 2
내실을 0 1 3
놀기만 2 0 3
가봐용 1 0 3
캡슐 2 0 2
심장이뛴다 0 4 5
밀려올 2 0 3
ekfns 1 0 5
모카 0 2 2
징거 2 0 2
찬란함의 1 0 4
재판정 0 1 3
담겼다는 1 0 4
뛸 1 3 1
잔잔한듯 0 3 4
읽음 1 0 2
재밌어와 0 1 4
맞먹게 0 1 3
꽝꽈 1 0 2
화려했지만 1 1 5
목동 1 0 2
안조는대 1 0 4
알겠는대 1 0 4
맞춰져 0 2 3
윙스 1 0 2
털어도 1 0 3
페어리테일 1 5 5
지나치는 1 3 4
너무하구만 2 0 5
오정희 0 1 3
껌뻑 2 0 2
괜찮았었는데 1 2 6
광대하니깐 0 1 5
자유로워지건만 0 1 7
무체색 0 1 3
등광영 0 2 3
더하니 0 1 3
480 1 0 3
이심 2 5 2
근대 7 14 2
이럴수있지 1 0 5
찾아내서 0 1 4
쿠퍼액 1 1 3
유철 0 1 2
길렀지 1 0 3
괘안음 0 1 3
밝혀라 1 0 3
칫 1 0 1
이주희 0 1 3
설쳐서 1 0 3
있낰 1 0 2
뺀 7 11 1
주나 15 0 2
단역 26 24 2
라라피포 0 1 4
훌륭하였습니다 0 1 7
믿어지지가 1 0 5
욕처 1 0 2
걸리는건 1 0 4
이상하긴 0 2 4
풀어내었고 0 1 5
착상 4 0 2
신비할 0 1 3
재미없겠지 0 1 5
좋았겠다는 2 2 5
황금의제국 0 4 5
주셨습니다 1 1 5
팝업 2 1 2
어케 26 11 2
음문 1 0 2
황당하기조차 0 1 6
철학가 0 1 3
재매 1 1 2
눈버렷 2 0 3
소린 26 7 2
들어가는게 1 0 5
만들어졌네요 0 1 6
그래픽 236 78 3
오씨 12 9 2
미나토 3 5 3
웃기지두 1 0 4
보인다고 6 4 4
흘러갔나하고 1 0 6
역도산 1 3 3
먹여주긴 1 0 4
단순함이 0 2 4
범죄 136 72 2
재디 1 0 2
는것도 4 0 3
지나다니 0 1 4
신승수 1 0 3
소년 31 84 2
나름괜찬 0 1 4
마리옹 3 10 3
이칸희 1 0 3
산부인과 6 3 4
데릭허프 0 1 4
알아도 3 6 3
분탕침 1 0 3
COME 1 0 4
묻어난 0 5 3
버리더라 0 1 4
완료 2 5 2
초현 1 2 2
미엇다 2 0 3
뚫어주는 0 1 4
진땜 2 0 2
정다운 0 2 3
bw 1 0 2
만족하 0 1 3
생겼구요 0 1 4
득보잡 1 0 3
찾았다 3 26 3
넘겨보기한 1 0 5
역모 1 0 2
나왓을때 1 0 4
뿜더군 1 0 3
작이자 1 0 3
동안미녀 1 5 4
원스어폰어타임 1 0 7
솔로 12 10 2
먹네 12 1 2
엄마 277 344 2
어설픈면이 0 1 5
다이애나 5 1 4
./. 0 2 3
껴놓는 1 0 3
핑크팬더 0 1 4
있어주면 0 1 4
환단고기 1 0 4
오는구만 1 0 4
가졌거나 1 0 4
바보엄마 0 4 4
약관 0 1 2
끝나잖아요 0 1 5
높아야 1 0 3
시키게요 1 0 4
멈추게한 0 1 4
꺽꺽 0 4 2
필자 8 4 2
맡았고 0 1 3
구차하게 0 1 4
날라하지 0 1 4
아으 3 0 2
입니다요 4 8 4
윈프리 0 3 3
7등 0 1 2
매길게 1 0 3
재밌으요 0 2 4
살려내 3 0 3
9분 0 1 2
내려야겠다 1 0 5
어울릴 6 5 3
딱딱하다 1 0 4
하여수 0 1 3
파바로티 0 1 4
주겟어요 0 1 4
뀌 2 2 1
인가가 2 4 3
올라가서 1 3 4
골랐다 3 1 3
쑤래 1 0 2
불쌍하지 4 0 4
될수있었을까 1 0 6
코밍쑤운 0 1 4
있든가 1 0 3
피니쉬 0 1 3
길들이다니 0 1 5
갈수있단 0 1 4
통증 6 1 2
번하면 2 0 3
난닝구 1 1 3
버릴꺼야 6 1 4
민망하구나 1 0 5
내리는지 0 2 4
볼수있겠구나 1 0 6
벌주고 1 0 3
더더 6 12 2
그런다는 1 0 4
멋있다고 6 0 4
입니디 0 1 3
싫다구 1 0 3
짜내기의 1 1 4
우승했으면 0 1 5
기억난다는 0 1 5
급락 1 1 2
심도가 0 1 3
많았음 7 8 3
~. 5 14 2
원죄 4 3 2
땡겼던 1 0 3
켜세우기 1 0 4
재미없자 1 0 4
해전 1 8 2
깊게 24 211 2
바뀔지 0 1 3
쏴 27 9 1
싶네용 1 3 3
does 1 2 4
유튜브 14 11 3
성장 39 110 2
있겠습니까 0 3 5
벗는게 2 0 3
보려다 4 6 3
할려는 13 2 3
양분 1 0 2
김지윤 0 1 3
짜내다가 1 0 4
겨운 4 5 2
영원불멸 0 1 4
밝네 1 0 2
관료 2 3 2
이지나 6 17 3
가자고 4 0 3
프리덤 2 1 3
꽂혀 0 2 2
자유로운가 1 1 5
갚았나 0 1 3
다듬었어도 1 0 5
fm 1 0 2
이여름 0 1 3
내 3579 3248 1
후려친다 1 0 4
덥니까 1 0 3
많다니요 0 1 4
!-> 1 0 3
이삼 2 1 2
지겨워졌음 1 0 5
닥극사 0 1 3
보내주네요 1 0 5
힘들었다고 2 0 5
하는지답은 1 0 5
웃겨야 3 0 3
쩔쩔매는거야 1 0 6
타냐 2 0 2
peace 0 1 5
도망가라고 1 0 5
한물간거 1 0 4
집결 2 0 2
시계 15 5 2
짰음 0 1 2
들이였습니다 0 1 6
맞추려다 2 0 4
믿었고 0 1 3
독특한데 2 0 4
전원주택 0 1 4
왕위 1 1 2
들었 0 5 2
남아있 0 1 3
올까봐 1 0 3
3~4년 3 0 4
잠들었을 1 0 4
울드 0 1 2
재미있당 0 13 4
가정부 4 5 3
할로겐 1 0 3
푸르스름 0 1 4
잔인하구 1 0 4
할줄 16 24 2
동방박사 0 1 4
김미화 2 1 3
지명 1 0 2
많아질것 0 1 4
담았으나 2 0 4
끝내준다는 1 1 5
테루유키 0 2 4
기다려지네 0 1 5
말솜씨 1 1 3
두근거려 0 3 4
죽여놓곤 1 0 4
엇슴 3 2 2
도망갈수있는데 2 0 7
섬세해서 0 1 4
패배한 0 1 3
가보길 1 0 3
창피하시죠 1 0 5
부테 0 1 2
말이져 0 2 3
몰라서 19 15 3
클로드 2 3 3
나고싶으면 1 0 5
니키 1 7 2
싸워가는것은 1 0 6
처제 7 2 2
담담하게란 1 0 5
들만큼 1 1 3
매어 0 1 2
보여줘야지 3 2 5
욕먹지말고 1 0 5
퍼펙터 0 1 3
소희 2 4 2
주셔요 0 1 3
놓치신 0 1 3
심은하 5 23 3
복잡했지만 0 2 5
일어나는거라 0 1 6
점밑 1 1 2
같습니다 66 233 4
이상하게시리 0 1 6
지나가기는 0 1 5
박보람 1 0 3
만듬 29 17 2
해바 1 0 2
빈약해요 1 0 4
썼네요 1 1 3
멋졌네요 0 1 4
굉장했었지만 1 0 6
우상화 4 0 3
영화목록 0 3 4
짜증남은 1 0 4
재밌는지 12 6 4
슬거 0 1 2
립 4 6 1
두르게만 1 0 4
풍만한 1 2 3
어설프고도 1 0 5
해낼 2 2 2
에게만 16 9 3
심어주었다고 0 1 6
뻔한게 1 2 3
찾도록 0 1 3
하고있을께요 0 1 6
일몰 0 1 2
십일조 1 0 3
재미있답니다 0 1 6
빼앗아 4 1 3
나눠져있어서 0 1 6
본줄 3 0 2
www 0 2 3
찾아간다 0 2 4
어떨게 0 1 3
사르르 0 2 3
영홬 4 0 2
많네 41 33 2
문죄인 1 0 3
내여귀 0 1 3
했다구 1 0 3
그려졌다 1 2 4
세이지 2 1 3
버리고 145 47 3
괴생명체 1 0 4
따뜻해져 0 2 4
망상 34 8 2
낚겼 1 0 2
원하는것을 0 1 5
숭고하지만 1 0 5
스땜 1 0 2
기른도 1 0 3
당하게하고 1 0 5
부럽습니다 0 3 5
책임져주지못하고 0 1 8
팔만 1 0 2
링고 0 1 2
무슈 0 1 2
창해 0 1 2
나와있지만 1 0 5
아니이게 2 0 4
윤후 2 1 2
지날이다 0 1 4
치닫는 9 6 3
알려줄까 0 1 4
텔런튼데 1 0 4
멎을듯 0 1 3
잡았으면서 1 0 5
판용 0 1 2
마이아 1 0 3
만나려고 0 1 4
늘어지지만 0 1 5
촣 0 1 1
만들어주었는데 0 1 7
된다와 1 0 3
게런티 2 0 3
생각나여 0 2 4
조병 0 3 2
편도 43 77 2
신시티 2 1 3
환영 12 12 2
10.00 1 0 5
하스겔 0 1 3
내려놓게 0 1 4
담론 7 1 2
지리겠다 1 0 4
남기는지 2 0 4
개안음 0 1 3
드러눕는 1 0 4
빅엿 4 0 2
상주면 0 1 3
맞을 16 14 2
힘들어용 0 1 4
밓었 1 0 2
차가웠다 0 1 4
위고 0 1 2
명성 121 25 2
뽑은거 1 0 3
古典 0 1 2
토도 0 1 2
일삼 2 3 2
킬링 58 22 2
바질 3 2 2
낄수 0 1 2
껀 12 10 1
생김치도 1 0 4
*^^*~~~ 0 1 7
케안습 1 0 3
좋아하기도 0 2 5
이용만 3 1 3
소룡 3 2 2
특수분장 5 2 4
참담하잖어 1 0 5
알겠고 3 2 3
갈것 1 3 2
쫓겨서 1 0 3
이쁜이 1 3 3
통과 3 7 2
Ry 0 1 2
여고괴담 23 7 4
싸면 1 0 2
여원 1 0 2
좋아졌을까요 0 1 6
글러먹었 1 0 4
흐뭇해지네요 0 1 6
잘오더라 1 0 4
전화기 2 2 3
남기기에 0 1 4
뜀 2 0 1
무리라는데 0 1 5
야닌 1 0 2
따분할 1 0 3
??;;; 2 0 5
생생 3 14 2
오래도 2 1 3
아련해지는 0 2 5
가리워져있는 0 1 6
찍으셨나 1 0 4
불안 8 14 2
들어가는 16 21 4
재미없어져 1 0 5
느끼리 1 0 3
안되어 3 2 3
년차 2 0 2
뉴트론 0 1 3
선정 62 33 2
멍한 3 2 2
시부모 1 0 3
봤데 0 1 2
일어나지 5 9 4
없애주길 0 1 4
아름답군 0 1 4
초능력자 6 6 4
져리 1 0 2
깨지네 1 0 3
쇼핑 9 3 2
되라 5 4 2
딱인거가 1 0 4
뛰엄뛰엄 1 0 4
쿨하지못한 1 0 5
나늬겟 1 0 3
하야시 0 1 3
--. 0 1 3
3시간 27 36 3
불복종 1 0 3
， 0 2 1
폰트 3 4 2
홍영 0 1 2
직빵 2 0 2
항살 0 1 2
채우자 2 2 3
이상한데다 0 1 5
믿긴다 3 3 3
난관 2 3 2
끼어 7 1 2
그럴듯하지만 1 0 6
울리의 0 1 3
프리큐어 0 1 4
험난한 1 3 3
Born 0 2 4
좋았아요 0 1 4
꿈꾼다는건 0 1 5
하기나 2 0 3
최명길 2 2 3
어렵겠네요 1 0 5
나와주는게 1 0 5
는데 166 246 2
싫어했는지 0 1 5
사설 4 1 2
안되었음 1 0 4
내려가고 1 0 4
세안 0 1 2
똥떵똥떵똥 1 0 5
;;: 0 1 3
똥송 0 1 2
버렸어야 0 1 4
잔잔한 61 371 3
성하다는 1 2 4
흘리는구나 0 1 5
했다대 1 0 3
1~50 0 1 4
디렉터스컷 0 3 5
도라는 0 1 3
소중할까 1 1 4
지루해하네요 1 1 6
달라하는것도 1 0 6
묻는것과 0 1 4
기댈 2 3 2
로마사 1 0 3
팜플렛 2 2 3
아쉽구만 1 0 4
스꺼스띵 2 0 4
예비군 7 1 3
굉장했는데 0 1 5
없던걸 1 2 3
해냈고 0 2 3
떠볼려는 1 0 4
잇을가 0 2 3
케이크 3 5 3
차이가나는데 1 0 6
민주주의자 1 0 5
도도한 2 1 3
찡함 0 4 2
가졌을 1 1 3
보았을듯 0 1 4
잘봣다 1 0 3
더럽단 0 1 3
역설 7 6 2
head 0 2 4
딸치는 0 1 3
표기 6 3 2
받아들이자 0 1 5
불행한가 0 1 4
논터 0 1 2
월화드라마 2 1 5
그런줄 3 1 3
끌고가는게 0 1 5
어우러진다 0 2 5
쏟아지더라구요 0 1 7
알받이 1 1 3
되는대로 4 0 4
왜돈 1 0 2
이상했던 2 0 4
끈다고 2 1 3
할라면 0 1 3
스보리 1 0 3
청해 0 1 2
알고가네요 1 0 5
절정 38 64 2
슈류탄 1 0 3
다르다는거 1 0 5
잔득 4 1 2
자연스러웠겠는데 1 0 8
영화아카데미 2 0 6
강인해 0 1 3
하치쿠 0 1 3
매끄러웠을 1 0 5
잼있오용 0 1 4
bodyline 1 0 8
쳐였건만 1 0 4
나아지길 1 0 4
묵직하네 1 0 4
기발하지만 2 0 5
아니다만 4 0 4
다빈치코드 0 1 5
커쇼 1 0 2
잇네 11 5 2
475 1 0 3
회식 3 3 2
괴이 2 2 2
자연스럽다 0 1 5
후련하더군 1 0 5
버켄세일 0 1 4
┑ 1 0 1
재밋게보고잇슴니 1 0 8
끌리네요 0 1 4
본나는 0 1 3
요기 4 3 2
스니치 0 1 3
채어디 1 0 3
WEAR 0 1 4
들썩 0 1 2
스폰지 1 2 3
갤 3 5 1
둬요 0 1 2
흐흠 2 0 2
greatest 0 2 8
이성진 1 2 3
해마다 0 5 3
먹었겠다 1 0 4
초록색 1 0 3
갔더니 2 2 3
살아야하지 1 0 5
⊙◎●○▷◁▽△■□】【 0 1 12
이런내 1 0 3
괴도키드 0 1 4
이셔은 0 1 3
나왔을면 0 1 4
hhhh 0 1 4
경제학자 1 2 4
스으으읍얼 1 0 5
빠르죠 0 1 3
즐기는데 1 0 4
새로운것은 2 0 5
부추긴다던지 0 1 6
종종 8 19 2
느낄수있습니다 0 1 7
조악하다 6 0 4
뜯는거 1 0 3
재미있기라도 1 0 6
만나지마라 3 0 5
잡아가야하는데 1 0 7
필요없 0 6 3
는아니지만 0 1 5
만들자 13 6 3
장옥정 1 3 3
난해하다는 0 1 5
살았는데도 1 0 5
~~~~~` 1 0 6
넘어오려고 1 0 5
중률 1 0 2
알토 1 0 2
어렴풋보 0 1 4
해내서 0 1 3
뽑겠어 0 1 3
~~~~!!! 1 5 7
좋치만 1 0 3
편리 0 1 2
맞겠습니다 1 0 5
파출소 1 0 3
구리네요 1 1 4
앤더 1 0 2
허무하군 1 0 4
기까지는 2 0 4
말하는대 1 0 4
눕기만 1 0 3
언스 5 2 2
푸히히 1 0 3
많았었는데 0 1 5
좀하시길 1 0 4
울렸지 0 1 3
볼게 0 1 2
계신다 0 2 3
간첩 35 10 2
...................................... 2 0 38
버리냐 3 0 3
그립지만 0 1 4
드립니당 1 0 4
편해라 0 1 3
네팔 0 2 2
맙시다 0 1 3
채식주의자 1 1 5
왔던 18 19 2
남는거하나 2 0 5
건질거는 1 0 4
의심스럽네요 4 1 6
설정떄문 1 0 4
그리울 2 6 3
떠올랐네 1 0 4
붙여놓으면 0 1 5
난데없이 7 0 4
멈춰 4 4 2
배우전 1 0 3
win 1 1 3
따여 0 1 2
이룰 2 3 2
돋지도 1 0 3
크로우 14 25 3
원 336 215 1
해놓으면 2 0 4
짜증나게하고 1 0 6
크에서 1 0 3
혼내주고 2 0 4
더해가지고 1 0 5
미결 0 1 2
봣다 21 20 2
일줄 6 25 2
잠겨있더라 0 1 5
오그라든다아아아 1 0 8
점줌재밋음 0 1 5
원수연 0 1 3
뿜었음 4 2 3
찍어라 28 2 3
된거아니냐 1 0 5
왕식 1 1 2
월채 1 0 2
분명해요 2 1 4
대애 2 1 2
했던것보다는 1 0 6
건디 1 0 2
were 0 2 4
열었고 0 1 3
튀겨 3 0 2
!!!!!^^ 0 2 7
행복한데 1 1 4
올려줬는데 1 0 5
탭 1 2 1
어울리는게 1 0 5
150억 1 0 4
안좋나 0 1 3
공항씬 0 1 3
신의손 1 0 3
교우 0 1 2
끝나나 33 0 3
황산벌 4 1 3
죽는건데 2 0 4
점핑 0 1 2
본다는게 3 6 4
바친 0 2 2
본받을게 0 2 4
나왔음에도 3 1 5
시르네요 1 0 4
화하는 5 2 3
가안 32 22 2
다뤘다는 3 2 4
틀었다는것 1 0 5
트뤼포 1 0 3
지었다고 1 2 4
안볼렵니 1 0 4
읽으면서도 0 1 5
다루는군 1 0 4
어이없다는걸 1 0 6
토마 1 1 2
알못이다 1 0 4
쿠선 1 0 2
보여주었고 0 1 5
잔인한거 9 1 4
비긴다고 1 0 4
없을줄 1 3 3
닦이 2 0 2
점더 3 3 2
무단 3 2 2
미칠듯 1 4 3
집부북 1 0 3
.~~!!! 0 1 6
진유영 0 1 3
진재영 1 0 3
벤제마 0 1 3
글케 7 3 2
쉬운것도 1 0 4
:*) 0 1 3
채워주지못 0 1 5
쥐키 1 0 2
추구하는걸 0 1 5
부작용 7 3 3
응칠 1 0 2
말고 249 182 2
만들었다지만 2 0 6
나온느 1 0 3
쉥 1 0 1
들어줬다 3 1 4
트레이시 0 1 4
클하고 1 5 3
체기 1 0 2
화성인 2 1 3
흥행 202 169 2
나줘야지 0 1 4
멋있디 0 1 3
좋아하는것도 1 0 6
조앤 0 1 2
접으시는걸 0 1 5
살아있다의 0 1 5
4만 1 1 2
퀴즈 7 8 2
천년 8 12 2
쓸려면 2 0 3
갖춘다 0 1 3
김나나 0 1 3
답답하면 1 0 4
솰 0 1 1
전에보고 0 1 4
쌍탑 0 1 2
나와주기만 0 1 5
아쉬운면이 1 1 5
뛰어놀았음 1 0 5
할수있었을까 0 1 6
차린거아냐 1 0 5
일석이조 1 0 4
모은것 2 0 3
어덯 1 1 2
바람다 1 0 3
않다냐 0 1 3
저스틴 10 6 3
부풀려 1 1 3
어색하고 95 6 4
느끼라는 5 0 4
벌도 1 0 2
적기 1 3 2
평작 18 12 2
낙타 2 0 2
딱인듯 3 6 3
참지만 1 0 3
고의 8 6 2
오징어 9 4 3
귀엽구만 0 1 4
척사 1 0 2
흘렸는지 0 1 4
조련사 1 3 3
스페인어 2 3 4
만것 2 0 2
강지은 1 0 3
국내선 1 0 3
블랙호크 1 0 4
뻔하리만큼 0 1 5
소소한 21 96 3
드러냈다 0 1 4
같은실수를 0 1 5
알렉산더 1 8 4
우레 1 1 2
교정 5 2 2
필요없다니 1 0 5
잼있는거야 0 1 5
근위병 1 0 3
Hardest 0 1 7
=;; 1 0 3
믿지말자 1 2 4
벗으면 4 2 3
얽혀있어서 0 1 5
해주려는지 1 0 5
보지말게 0 1 4
황당한건 2 0 4
기밀 1 0 2
올린의 0 2 3
가보는데도 0 1 5
아쉽긴 3 53 3
박하면서 0 1 4
밋밋해진 1 0 4
줄텐데 9 0 3
재미있는것만 1 0 6
먀 4 2 1
동작 5 6 2
1955년 0 1 5
볼거니까 1 0 4
봤었답니다 0 1 5
옛적 1 1 2
땜빵 3 0 2
많구요 1 0 3
지루해야지 2 0 5
되게만 0 1 3
없다내요 1 0 4
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 1 0 122
휘청거리는 1 0 5
잇자나요 0 1 4
비하하고 1 0 4
특별하지 7 1 4
굵직한 1 5 3
범주 6 0 2
들려다 0 1 3
체다 2 2 2
묵직했다 0 1 4
라나 8 9 2
라기 49 30 2
말껄 1 0 2
갖앗는데 1 0 4
끌려가서 2 1 4
스페인내전 0 1 5
방범 2 0 2
먼듯 1 1 2
갖겠다구 1 0 4
왔겠지 0 1 3
카니 2 2 2
망하지는 1 0 4
해준둣 0 1 3
뽑지 1 0 2
실망했나 0 1 4
들어서는 4 2 4
안되도 2 0 3
아는건데 1 0 4
비겁한 2 1 3
하하호호 1 3 4
타자치는게 0 1 5
후루룩 5 1 3
없고요 1 0 3
훌터보 0 1 3
맞추어 3 1 3
선덕 1 0 2
지연우 0 1 3
보시겠다 1 0 4
대단했을거다 0 1 6
러프 1 0 2
연적 3 0 2
gooooooooood 0 1 12
얻으려고 4 1 4
텔링능력 1 0 4
!!) 0 3 3
연결 95 50 2
서성 0 2 2
는군요 1 0 3
만들어져 1 4 4
봤는지 39 41 3
털은 1 0 2
다가올것이다 0 1 6
전무한 2 0 3
같으다 1 1 3
찍었을듯 1 0 4
모였단 1 0 3
places 0 1 6
어이없을수도 0 1 6
조이진 0 2 3
오가던 1 0 3
오나용 0 1 3
2014등 0 1 5
화끈하던지 1 0 5
찍고싶나 1 0 4
맞춤 8 7 2
조미 3 10 2
법 151 142 1
씁쓸하구나 0 1 5
많아야 2 1 3
사랑스럽다 1 68 5
종이컵 1 1 3
섬기셨지만 0 1 5
라텍스 1 0 3
저떻 1 1 2
땅바닥 2 1 3
사놓고 1 0 3
따뜻함을 1 7 4
나쁜것도 1 0 4
반문 1 2 2
천벌 2 4 2
오실 1 1 2
버리것다 0 1 4
느꼈구요 0 1 4
고생 138 87 2
잠안오면 1 0 4
차럼 1 0 2
Iggy 1 0 4
알았쟎우 1 0 4
버틀러 2 9 3
이징 5 1 2
찌질함 2 1 3
리포터 5 2 3
마른지 1 0 3
획기 11 13 2
뭉클합니다 0 3 5
즐거웠고 1 9 4
재일교포 2 10 4
멘티 2 0 2
멍 45 36 1
에로티즘 2 0 4
겪는가 1 0 3
기억남을것 0 1 5
많은건 1 2 3
518 8 0 3
탄탄하던가 1 0 5
잼있다고요 0 1 5
끊기는것 0 1 4
싶긴한데 1 0 4
시원한면이 1 0 5
썬더 4 4 2
왕룡 1 0 2
편한하게 0 1 4
지른다고 3 0 4
김형준 0 1 3
만든거만 0 1 4
썻더 1 0 2
재밌었거든요 1 0 6
빛났어요 0 1 4
에서도 171 204 3
또옥 0 1 2
혼탁 1 1 2
조이 1 6 2
우는씬 0 1 3
프리허그 3 0 4
믿었다가 2 0 4
허무합니다 2 0 5
재밌잖느냐 0 1 5
느껴지는 59 152 4
갘 5 3 1
잘사는구나 1 0 5
망가져가는 2 0 5
뛰어넘기 1 0 4
바넬 0 1 2
머릿수 1 1 3
착실히 1 0 3
하시네요 11 26 4
풍부해지는 0 1 5
벤킹슬리역 0 1 5
야했을까 2 0 4
다르케 0 1 3
포르노그라피 2 2 6
닦는 2 3 2
합계 1 1 2
닭목 1 1 2
읽나요 1 0 3
찾았을거라 0 1 5
섭는 1 0 2
버리하게 1 0 4
빤한 3 0 2
망했 2 0 2
가요 114 39 2
아까워지네 1 0 5
스럽나 1 0 3
BMW 3 1 3
VTR 0 1 3
갖는다는거에 1 0 6
장하게 1 1 3
ㅅㅋ 3 1 2
담도 0 1 2
쫄깃쫄깃하 0 1 5
듣는게 6 5 3
다양하게 1 4 4
★☆♡ 0 1 3
평범하지 4 16 4
높였네 0 1 3
이걸봣 1 0 3
적이였지 0 1 4
1.3 3 0 3
인수대비 1 0 4
늙었다 7 3 3
가지곤 2 0 3
답답하냐 1 0 4
심드렁 1 0 3
훨났 1 0 2
나타내었다 5 1 5
!!!" 1 2 4
라이 119 28 2
찰싹찰싹 1 0 4
참신함 3 8 3
박혀있지 1 0 4
알았을듯 1 0 4
그떄 2 4 2
만들지는 1 1 4
뛰어나네 0 1 4
바인 3 1 2
